Datetime,TASK,TIME_LIMIT,STATUS
2020-11-13 10:49:36,put all functions in back end,10,COMPLEATE
2020-11-13 10:49:36,rename notebook and copy it to merge,6,COMPLEATE
2020-11-13 10:49:36,merge notebook and make it a script remove all plots,13,COMPLEATE
2020-11-13 10:49:36,run loop on another security ,12,COMPLEATE
2020-11-13 10:49:36,examine results,10,COMPLEATE
2020-11-13 12:36:39,wake up and rage mother fucker,3,COMPLEATE
2020-11-13 12:36:39,make ginsing tea,2,COMPLEATE
2020-11-13 12:36:39,evaluate whats going on,6,COMPLEATE
2020-11-13 12:36:39,get your tea,3,COMPLEATE
2020-11-13 12:36:39,drink tea and evaluate,15,COMPLEATE
2020-11-13 12:36:39,work on your loops,3,COMPLEATE
2020-11-13 13:28:26,open evaluation notebook,3,COMPLEATE
2020-11-13 13:28:26,try to put everything in one function,10,COMPLEATE
2020-11-13 13:28:26,get plot next to heatmap,5,COMPLEATE
2020-11-13 14:30:26,get trill data,5,COMPLEATE
2020-11-13 14:30:26,start backtest,5,COMPLEATE
2020-11-13 14:30:26,anylize it ,10,COMPLEATE
2020-11-13 14:30:26,start the variations,5,COMPLEATE
2020-11-15 14:28:27,respond to the thing,6,COMPLEATE
2020-11-15 14:28:27,write out list,6,COMPLEATE
2020-11-15 14:28:27,clean room,10,COMPLEATE
2020-11-15 14:28:27,music,12,COMPLEATE
2020-11-15 14:28:27,meditation prep,2,COMPLEATE
2020-11-15 14:28:27,meditate,20,COMPLEATE
2020-11-15 14:28:27,situp,3,COMPLEATE
2020-11-15 14:28:27,situps,3,COMPLEATE
2020-11-15 14:28:27,review dont forget,6,COMPLEATE
2020-11-15 14:28:27,brush teeth and shave,6,COMPLEATE
2020-11-15 14:28:27,vit,3,COMPLEATE
2020-11-15 14:28:27,jornal,3,COMPLEATE
2020-11-15 16:41:01,find promotional contnent,10,COMPLEATE
2020-11-15 16:41:01,send to frodo,6,COMPLEATE
2020-11-15 16:41:01,invite forodo to drive,6,COMPLEATE
2020-11-15 17:12:48,MAKE A FOOD,5,COMPLEATE
2020-11-15 17:12:48,EAT,20,COMPLEATE
2020-11-15 17:28:16,food,5,COMPLEATE
2020-11-15 17:28:16,eat,5,COMPLEATE
2020-11-15 17:28:16,go,5,COMPLEATE
2020-11-15 23:22:12,pea,5,COMPLEATE
2020-11-15 23:49:14,clear the stuff,5,COMPLEATE
2020-11-15 23:49:14,build the four layer loop,10,COMPLEATE
2020-11-16 02:25:53,food,5,COMPLEATE
2020-11-16 02:25:53,watch zipp trader,13,COMPLEATE
2020-11-16 02:25:53,collect tickers mentioned,5,COMPLEATE
2020-11-16 02:25:53,put loop in script,6,COMPLEATE
2020-11-16 02:25:53,run loop on tickers,5,COMPLEATE
2020-11-16 06:03:43,put the fucking loop back into an inline script,10,COMPLEATE
2020-11-16 06:14:26,put inline into script and run,10,COMPLEATE
2020-11-16 10:12:42,SLEEP,90,COMPLEATE
2020-11-16 18:57:37,hyln report,6,COMPLEATE
2020-11-16 18:57:37,finish h y l n report,6,COMPLEATE
2020-11-16 18:57:37,start tea ,3,COMPLEATE
2020-11-16 18:57:37,make a bot for h y l n ,6,COMPLEATE
2020-11-16 18:57:37,finish bot for h y l n ,6,COMPLEATE
2020-11-16 18:57:37,report on P W ,6,COMPLEATE
2020-11-16 18:57:37,finish report on P W ,6,COMPLEATE
2020-11-16 18:57:37,make a P W bot,6,COMPLEATE
2020-11-16 18:57:37,finish P W bot ,6,COMPLEATE
2020-11-16 18:57:37,open a for loop and new notebook,6,COMPLEATE
2020-11-16 18:57:37,make a template for regular paramater iterstrat,10,COMPLEATE
2020-11-16 18:57:37,open old iter strat and use params as a template,6,COMPLEATE
2020-11-16 18:57:37,dirnk tea get geeked and plan next moves,6,COMPLEATE
2020-11-16 19:28:51,fnish loop ,6,COMPLEATE
2020-11-16 19:28:51,work on saving paramaters,6,COMPLEATE
2020-11-16 19:28:51,finish saveing paramters,6,COMPLEATE
2020-11-16 19:28:51,write other start functions,6,COMPLEATE
2020-11-16 19:28:51,finish other strat functions,6,COMPLEATE
2020-11-16 20:09:03,copy strats ,6,COMPLEATE
2020-11-16 20:09:03,keep copying ,20,COMPLEATE
2020-11-16 20:09:03,write them all in a scirpt,6,COMPLEATE
2020-11-16 20:09:03,finish sript,6,COMPLEATE
2020-11-17 15:44:40,wrtie list ,6,COMPLEATE
2020-11-17 15:44:40,get music bumping,6,COMPLEATE
2020-11-17 15:44:40,write new schedual,1,COMPLEATE
2020-11-17 16:01:07,market close,12,COMPLEATE
2020-11-17 16:01:07,close,1,COMPLEATE
2020-11-20 10:34:28,write list,12,COMPLEATE
2020-11-20 13:01:51,finish dropzone,12,COMPLEATE
2020-11-22 14:17:41,space out,10,COMPLEATE
2020-11-22 14:17:41,plan write list,12,COMPLEATE
2020-11-22 14:17:41,go,1,COMPLEATE
2020-11-22 17:31:34,writing out goals,12,COMPLEATE
2020-11-22 17:31:34,wrtie out schedual for right now including clean car and grocery run,12,COMPLEATE
